Wavelength,Intensity
467.61575139924048,598.79998779296875
467.62431712768233,601.4000244140625
467.63288278320715,600.79998779296875
467.64144836580584,601.79998779296875
467.6500138754696,604.4000244140625
467.6585793121896,600.20001220703125
467.66714467595682,598.5999755859375
467.6757099667625,600.5999755859375
467.68427518459771,600.4000244140625
467.69284032945353,601
467.7014054013211,601.79998779296875
467.70997040019154,599.79998779296875
467.71853532605593,598
467.72710017890546,601.79998779296875
467.73566495873109,601
467.74422966552419,598.20001220703125
467.75279429927565,599
467.76135885997661,600.4000244140625
467.76992334761826,599.4000244140625
467.77848776219167,600.5999755859375
467.78705210368804,602.5999755859375
467.79561637209832,601
467.80418056741377,599.79998779296875
467.81274468962545,600.79998779296875
467.8213087387245,600.5999755859375
467.82987271470193,599.79998779296875
467.83843661754906,598.5999755859375
467.84700044725685,603.4000244140625
467.85556420381641,602.4000244140625
467.864127887219,597.20001220703125
467.87269149745555,602.4000244140625
467.88125503451732,599.20001220703125
467.8898184983953,603.5999755859375
467.89838188908078,602.20001220703125
467.90694520656473,604.20001220703125
467.91550845083827,601
467.92407162189261,599.79998779296875
467.93263471971881,602.5999755859375
467.94119774430794,603.20001220703125
467.94976069565126,599.5999755859375
467.95832357373973,602
467.9668863785646,599
467.97544911011693,600.20001220703125
467.9840117683878,600.79998779296875
467.99257435336835,604.5999755859375
468.00113686504972,599
468.009699303423,598.20001220703125
468.01826166847945,599.5999755859375
468.02682396021,602.5999755859375
468.03538617860579,601.5999755859375
468.04394832365807,598.5999755859375
468.05251039535779,601
468.06107239369618,602.5999755859375
468.06963431866438,599.20001220703125
468.07819617025348,598.5999755859375
468.08675794845465,601.79998779296875
468.09531965325885,599.20001220703125
468.10388128465729,598.79998779296875
468.11244284264114,602.4000244140625
468.12100432720149,602
468.1295657383294,600
468.13812707601608,601.5999755859375
468.14668834025264,599.79998779296875
468.15524953103017,600.4000244140625
468.16381064833985,599.20001220703125
468.1723716921727,602
468.18093266251981,601.5999755859375
468.18949355937247,599.5999755859375
468.19805438272169,601.4000244140625
