Wavelength,Intensity
467.61575139924048,1387.199951171875
467.62431712768233,1457.4000244140625
467.63288278320715,1471.4000244140625
467.64144836580584,1523
467.6500138754696,1538
467.6585793121896,1578.4000244140625
467.66714467595682,1534.4000244140625
467.6757099667625,1543.5999755859375
467.68427518459771,1531.199951171875
467.69284032945353,1571.4000244140625
467.7014054013211,1593.4000244140625
467.70997040019154,1598.199951171875
467.71853532605593,1622.199951171875
467.72710017890546,1620.199951171875
467.73566495873109,1656.199951171875
467.74422966552419,1654.199951171875
467.75279429927565,1659.199951171875
467.76135885997661,1630.4000244140625
467.76992334761826,1631.800048828125
467.77848776219167,1614.800048828125
467.78705210368804,1629.199951171875
467.79561637209832,1677.4000244140625
467.80418056741377,1692.199951171875
467.81274468962545,1693.199951171875
467.8213087387245,1674
467.82987271470193,1680.5999755859375
467.83843661754906,1694.4000244140625
467.84700044725685,1715.800048828125
467.85556420381641,1738.800048828125
467.864127887219,1719
467.87269149745555,1707.4000244140625
467.88125503451732,1689.800048828125
467.8898184983953,1674.199951171875
467.89838188908078,1703
467.90694520656473,1732.4000244140625
467.91550845083827,1725
467.92407162189261,1750.4000244140625
467.93263471971881,1746.5999755859375
467.94119774430794,1730.199951171875
467.94976069565126,1749.4000244140625
467.95832357373973,1767.199951171875
467.9668863785646,1812.800048828125
467.97544911011693,1842.5999755859375
467.9840117683878,1820.5999755859375
467.99257435336835,1824
468.00113686504972,1823.199951171875
468.009699303423,1889.800048828125
468.01826166847945,1863.4000244140625
468.02682396021,1845.800048828125
468.03538617860579,1845.199951171875
468.04394832365807,1809
468.05251039535779,1777.4000244140625
468.06107239369618,1792.199951171875
468.06963431866438,1856.5999755859375
468.07819617025348,1901.199951171875
468.08675794845465,1912
468.09531965325885,1924
468.10388128465729,1939.5999755859375
468.11244284264114,1957
468.12100432720149,1943.800048828125
468.1295657383294,1992
468.13812707601608,1960.4000244140625
468.14668834025264,1948.199951171875
468.15524953103017,1948
468.16381064833985,1978.4000244140625
468.1723716921727,1987
468.18093266251981,1984.4000244140625
468.18949355937247,2014.4000244140625
468.19805438272169,2045.199951171875
468.20661513255868,1994.5999755859375
468.21517580887445,1989.4000244140625
468.22373641166018,2001.800048828125
468.232296940907,2012.800048828125
468.240857396606,2031.5999755859375
468.24941777874835,2054.199951171875
468.25797808732517,2020.199951171875
468.26653832232745,2036.5999755859375
468.27509848374655,2058.800048828125
468.28365857157348,2076.60009765625
468.29221858579922,2103.39990234375
468.30077852641517,2165.800048828125
468.30933839341225,2192.60009765625
468.31789818678169,2124
468.32645790651446,2147.199951171875
468.33501755260193,2163.800048828125
468.34357712503493,2177.800048828125
468.35213662380488,2186.199951171875
468.3606960489027,2168.60009765625
468.36925540031967,2168.60009765625
468.37781467804678,2171.60009765625
468.38637388207519,2138
468.39493301239605,2125.800048828125
468.40349206900049,2129.60009765625
468.41205105187959,2201.800048828125
468.42060996102458,2163.800048828125
468.4291687964265,2216
468.43772755807646,2203.39990234375
468.44628624596567,2252
468.45484486008513,2321.60009765625
468.4634034004261,2368
468.47196186697965,2373.199951171875
468.48052025973692,2357.199951171875
468.489078578689,2326.199951171875
468.49763682382707,2263
468.50619499514221,2257
468.5147530926256,2280.800048828125
468.52331111626825,2276
468.53186906606152,2303.60009765625
468.54042694199632,2313.39990234375
468.54898474406389,2330
468.55754247225525,2354.800048828125
468.56610012656165,2410
468.57465770697416,2407
468.58321521348392,2460
468.59177264608212,2437.800048828125
468.60033000475977,2383.39990234375
468.60888728950806,2363.60009765625
468.61744450031807,2424.800048828125
468.62600163718105,2487.60009765625
468.63455870008806,2481.60009765625
468.64311568903025,2504
468.65167260399869,2466.39990234375
468.66022944498462,2501.800048828125
468.668786211979,2511.800048828125
468.6773429049731,2563.60009765625
468.68589952395808,2540.800048828125
468.694456068925,2510.39990234375
468.70301253986486,2533.199951171875
468.711568936769,2484
468.7201252596285,2489
468.72868150843448,2544
468.73723768317814,2572.39990234375
468.74579378385033,2597.199951171875
468.75434981044259,2618.60009765625
468.76290576294576,2570
468.77146164135104,2597.199951171875
468.78001744564966,2638.199951171875
468.78857317583265,2651
468.7971288318912,2662
468.80568441381632,2774.199951171875
468.81423992159938,2748
468.82279535523128,2748.60009765625
468.83135071470326,2763.60009765625
468.83990600000641,2785.60009765625
468.84846121113196,2774.199951171875
468.85701634807094,2796
468.86557141081454,2784
468.87412639935388,2683.800048828125
468.88268131368011,2651
468.89123615378429,2652.60009765625
468.89979091965768,2728.39990234375
468.90834561129134,2786.60009765625
468.91690022867635,2874.800048828125
468.925454771804,2914.800048828125
468.93400924066532,2930
468.94256363525142,2946.60009765625
468.95111795555351,2962.800048828125
468.95967220156263,2972.800048828125
468.96822637327006,2999
468.97678047066677,2977.39990234375
468.98533449374406,2925.199951171875
468.99388844249296,2915.39990234375
469.00244231690459,2926.39990234375
469.01099611697026,2968.800048828125
469.01954984268093,3084.800048828125
469.02810349402768,3069.800048828125
469.03665707100186,3035.800048828125
469.04521057359449,3002.39990234375
469.05376400179671,3039.60009765625
469.0623173555997,3056.199951171875
469.07087063499455,3086.800048828125
469.07942383997243,3124.199951171875
469.08797697052444,3050.199951171875
469.0965300266418,3093.199951171875
469.10508300831549,3080
469.11363591553686,3139
469.12218874829688,3198.800048828125
469.13074150658673,3279
469.13929419039761,3257
469.14784679972058,3269.60009765625
469.1563993345469,3299.800048828125
469.16495179486753,3292.800048828125
469.17350418067377,3279.199951171875
469.1820564919567,3311.800048828125
469.19060872870745,3335.199951171875
469.19916089091714,3323.60009765625
469.207712978577,3272.199951171875
469.21626499167803,3291.199951171875
469.22481693021149,3272.39990234375
469.23336879416848,3317.39990234375
469.24192058354021,3308.800048828125
469.25047229831773,3302.199951171875
469.25902393849219,3358.60009765625
469.26757550405478,3313.60009765625
469.2761269949965,3354.60009765625
469.28467841130873,3504
469.29322975298243,3600
469.30178102000883,3644
469.310332212379,3637.39990234375
469.31888333008419,3587.60009765625
469.32743437311541,3568
469.33598534146392,3608.60009765625
469.34453623512087,3598.199951171875
469.35308705407721,3624.800048828125
469.3616377983243,3535
469.37018846785321,3508.199951171875
469.37873906265509,3528.199951171875
469.38728958272105,3581.800048828125
469.3958400280423,3668
469.40439039860985,3701.800048828125
469.412940694415,3779
469.42149091544883,3688.800048828125
469.43004106170247,3672.199951171875
469.43859113316711,3699.60009765625
469.44714112983388,3739.199951171875
469.45569105169386,3783.60009765625
469.46424089873824,3844.199951171875
469.47279067095826,3831.39990234375
469.48134036834489,3812.60009765625
469.48988999088942,3834.60009765625
469.49843953858289,3920.199951171875
469.50698901141652,3984.39990234375
469.51553840938146,4037.800048828125
469.52408773246884,4057.199951171875
469.53263698066979,3994.39990234375
469.54118615397545,3937.39990234375
469.549735252377,3912.800048828125
469.55828427586556,3988.39990234375
469.56683322443229,4044.39990234375
469.57538209806836,4049.199951171875
469.5839308967648,3997.199951171875
469.59247962051296,3994.800048828125
469.60102826930387,3991.39990234375
469.60957684312859,4085.800048828125
469.61812534197844,4273.7998046875
469.62667376584449,4283.39990234375
469.63522211471786,4317.39990234375
469.64377038858976,4236.60009765625
469.6523185874513,4270.60009765625
469.66086671129369,4394.7998046875
469.66941476010794,4486.2001953125
469.67796273388541,4461.2001953125
469.686510632617,4422.60009765625
469.69505845629408,4273.60009765625
469.70360620490771,4199.60009765625
469.71215387844893,4194.39990234375
469.72070147690914,4249.7998046875
469.72924900027925,4263.39990234375
469.73779644855057,4313.39990234375
469.74634382171416,4361.2001953125
469.75489111976117,4386.2001953125
469.76343834268289,4548.2001953125
469.77198549047034,4685
469.78053256311466,4767
469.789079560607,4793.7998046875
469.7976264829386,4732.39990234375
469.80617333010059,4668.39990234375
469.814720102084,4570.7998046875
469.82326679888013,4652
469.8318134204801,4728.39990234375
469.840359966875,4687.2001953125
469.84890643805608,4728.7998046875
469.8574528340144,4705.39990234375
469.86599915474119,4679.7998046875
469.87454540022759,4811.2001953125
469.88309157046461,4877.39990234375
469.89163766544357,4948.7998046875
469.90018368515564,4961
469.90872962959185,4852.39990234375
469.91727549874344,4795.39990234375
469.92582129260154,4845.2001953125
469.93436701115724,4905.7998046875
469.94291265440182,4985.60009765625
469.95145822232638,5060.2001953125
469.9600037149221,5052.7998046875
469.96854913217993,5113.2001953125
469.9770944740913,5086.39990234375
469.98563974064734,5149.60009765625
469.994184931839,5239.2001953125
470.00273004765768,5286.2001953125
470.01127508809441,5259.60009765625
470.01982005314028,5179.39990234375
470.0283649427866,5216.39990234375
470.03690975702438,5290
470.04545449584487,5337.60009765625
470.0539991592392,5410.7998046875
470.06254374719856,5371.39990234375
470.071088259714,5273
470.0796326967768,5209.7998046875
470.08817705837805,5276.39990234375
470.09672134450904,5384.7998046875
470.1052655551606,5445.39990234375
470.11380969032433,5501.7998046875
470.122353749991,5556.39990234375
470.13089773415203,5630.7998046875
470.13944164279843,5715
470.14798547592142,5917.7998046875
470.15652923351217,5920.60009765625
470.16507291556172,5903.60009765625
470.17361652206142,5782.7998046875
470.18216005300229,5666.39990234375
470.19070350837552,5567.60009765625
470.19924688817235,5590.60009765625
470.20779019238381,5765.60009765625
470.21633342100114,5812.2001953125
470.22487657401547,5827
470.233419651418,5824.2001953125
470.24196265319978,5825.7998046875
470.25050557935214,5936
470.25904842986614,6045.2001953125
470.26759120473292,6194.39990234375
470.27613390394367,6142.60009765625
470.28467652748958,6046.60009765625
470.29321907536189,6007.39990234375
470.30176154755151,6077.39990234375
470.31030394404974,6126.2001953125
470.31884626484788,6231.39990234375
470.3273885099369,6309.60009765625
470.335930679308,6332.39990234375
470.34447277295237,6295.2001953125
470.35301479086121,6296.2001953125
470.36155673302562,6345
470.37009859943674,6425.39990234375
470.37864039008588,6367.60009765625
470.387182104964,6335
470.39572374406242,6302.2001953125
470.40426530737233,6221
470.41280679488472,6351.2001953125
470.42134820659084,6483.60009765625
470.42988954248187,6624.7998046875
470.43843080254896,6686.39990234375
470.4469719867833,6671.60009765625
470.45551309517606,6589.2001953125
470.46405412771833,6603.60009765625
470.47259508440135,6691
470.48113596521625,6770.60009765625
470.48967677015423,6895
470.49821749920642,7021.2001953125
470.50675815236394,6980.60009765625
470.51529872961805,6835.7998046875
470.52383923095988,6928.39990234375
470.53237965638056,6943.39990234375
470.54092000587133,6959.7998046875
470.54946027942333,6972.60009765625
470.55800047702763,6828.7998046875
470.56654059867554,6729.60009765625
470.57508064435814,6686.39990234375
470.58362061406666,6793.2001953125
470.59216050779213,6999.60009765625
470.60070032552596,7219
470.60924006725907,7355.60009765625
470.61777973298274,7455.39990234375
470.62631932268812,7443
470.6348588363665,7435.39990234375
470.64339827400886,7527
470.65193763560637,7575
470.66047692115035,7450.60009765625
470.66901613063186,7388.60009765625
470.6775552640421,7385
470.6860943213722,7267.39990234375
470.69463330261345,7292.2001953125
470.70317220775689,7420.60009765625
470.71171103679382,7612
470.72024978971524,7681.39990234375
470.72878846651241,7697.39990234375
470.73732706717652,7662.60009765625
470.7458655916987,7559.7998046875
470.75440404007009,7634.39990234375
470.762942412282,7747.7998046875
470.77148070832544,7849
470.78001892819162,7986.2001953125
470.78855707187176,8016.7998046875
470.797095139357,7901
470.80563313063857,7943.39990234375
470.81417104570761,8021.7998046875
470.82270888455525,8145.7998046875
470.83124664717269,8164.60009765625
